(Intercept);pop;scale(log(FGMngg), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(FGMngg), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);scale(log(FGMngg), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(FGMngg), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0,135100934;+;-0,482606868;1,020622016;+;+;NA;+;0,090661994;NA;NA;NA;NA;NA;NA;NA;9;-783,68;1585,86;9,87;0
-0,129865711;+;-0,261840954;1,031682466;+;+;NA;+;0,037295827;+;NA;NA;NA;NA;NA;NA;10;-782,68;1585,97;9,97;0
-0,136477788;+;-0,251333794;1,061335315;+;+;NA;+;NA;+;+;NA;NA;NA;NA;NA;10;-782,68;1585,97;9,98;0
-0,12697479;+;-0,415849787;0,993025328;+;NA;NA;+;0,0904989;NA;+;NA;NA;NA;NA;NA;9;-783,74;1585,98;9,98;0
-0,136853873;+;-0,480117475;1,013527349;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;9;-783,75;1585,99;10;0
-0,088449663;+;-0,473944865;0,990741753;+;+;NA;NA;0,091895997;NA;+;NA;NA;NA;NA;NA;9;-783,75;1585,99;10;0
-0,161284072;+;-0,462891926;1,173996724;+;NA;+;+;0,163812096;NA;+;NA;NA;NA;NA;NA;10;-782,76;1586,13;10,13;0
-0,158480941;+;-0,478256255;1,155680441;+;+;+;+;0,16133008;NA;NA;NA;NA;NA;NA;NA;10;-782,76;1586,13;10,13;0
-0,128170421;+;-0,171679918;1,042942055;+;NA;NA;+;0,039635054;+;+;NA;NA;NA;NA;NA;10;-782,79;1586,2;10,2;0
-0,074685626;+;-0,252919678;1,039322374;+;+;NA;NA;0,041930173;+;+;NA;NA;NA;NA;NA;10;-782,81;1586,24;10,24;0
-0,16311468;+;-0,215039739;1,228070526;+;NA;+;+;0,113315653;+;+;NA;NA;NA;NA;NA;11;-781,77;1586,28;10,28;0
-0,110077407;+;-0,465695779;1,150336907;+;+;+;NA;0,122147178;NA;NA;+;NA;NA;NA;NA;10;-782,83;1586,29;10,29;0
-0,169910147;+;-0,091504912;1,154640168;+;+;NA;+;-0,621605285;+;+;NA;NA;NA;+;NA;12;-780,73;1586,33;10,34;0
-0,110093333;+;-0,466574273;1,158536008;+;+;+;NA;0,163760098;NA;+;NA;NA;NA;NA;NA;10;-782,86;1586,33;10,34;0
-0,152598029;+;-0,26470407;1,161678189;+;+;+;+;0,107207149;+;NA;NA;NA;NA;NA;NA;11;-781,81;1586,37;10,37;0
-0,168897625;+;-0,23702382;1,232348161;+;+;+;+;NA;+;+;NA;NA;NA;NA;NA;11;-781,85;1586,44;10,44;0
