"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.238133293823568;"+";-0.222565954715818;-0.000724037363387831;"+";NA;"+";"+";0.0988573690071881;NA;"+";NA;NA;"+";NA;NA;13;-1273.75509263003;2574.07804797458;9.08936915098866;0.000750035841242382
-0.235559700789643;"+";-0.222683535973092;0.265874248198978;"+";"+";NA;"+";NA;"+";NA;NA;"+";NA;NA;NA;12;-1274.82036136745;2574.12670404332;9.13802521972957;0.000732009110074804
-0.255165603221431;"+";-0.172007729406514;NA;"+";"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;10;-1276.97077284428;2574.2831605954;9.29448177180802;0.000676927842679539
-0.180041234580491;"+";-0.189251150893738;0.0783831286152155;"+";"+";"+";NA;0.201964597019613;"+";NA;"+";NA;NA;NA;NA;13;-1273.87226048237;2574.31238367925;9.32370485566071;0.000667108793543484
-0.248845175176086;"+";-0.177917322974498;0.0365172483082128;"+";NA;"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;13;-1273.89776124592;2574.36338520634;9.37470638275454;0.000650312084607049
-0.226133426891509;"+";-0.174075526586527;0.272943674315491;"+";NA;NA;"+";0.0696240222387523;"+";"+";NA;NA;NA;NA;NA;12;-1274.94905770174;2574.38409671189;9.39541788830593;0.000643612363632817
-0.227712438833656;"+";-0.168164471738489;0.25917340771385;"+";"+";NA;"+";0.067930252359715;"+";NA;NA;NA;NA;NA;NA;12;-1274.95330907052;2574.39259944944;9.4039206258567;0.000640881938261705
-0.242575364049144;"+";-0.230067457617915;0.122886668331265;"+";"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;13;-1273.98404239878;2574.53594751208;9.54726868848957;0.000596554870635543
-0.231103631792902;"+";-0.1763919227286;0.102911375995421;"+";"+";"+";"+";0.0964313744846647;"+";NA;NA;NA;NA;NA;NA;13;-1274.01344223145;2574.5947471774;9.60606835381304;0.000579271565292161
-0.231432641631594;"+";-0.172392296393522;0.107031779715289;"+";NA;"+";"+";0.095124673749591;"+";"+";NA;NA;NA;NA;NA;13;-1274.01383445903;2574.59553163257;9.60685280898679;0.000579044403556425
-0.182397107873258;"+";-0.168147455684415;0.278567791442904;"+";"+";NA;NA;0.0670247834530611;"+";"+";NA;NA;NA;NA;NA;12;-1275.05956771331;2574.60511673502;9.61643791143433;0.000576275942885289
-0.239611001349745;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;7;-1280.24695846901;2574.66702358409;9.67834476050075;0.000558711471620245
-0.237182633287097;"+";-0.153904566614616;0.282625519144707;"+";"+";NA;"+";NA;"+";"+";NA;NA;NA;NA;NA;12;-1275.09444681111;2574.67487493064;9.68619610704854;0.000556522452426588
-0.251147428894914;"+";-0.215300525312702;0.0285616584167512;"+";"+";"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;13;-1274.08138985846;2574.73064243142;9.74196360783344;0.000541218871427852
-0.194215930656621;"+";-0.177268198805629;0.107244362497144;"+";"+";"+";NA;0.0964148804921596;"+";"+";NA;NA;NA;NA;NA;13;-1274.09052955225;2574.74892181901;9.76024299542632;0.000536294833044683
-0.218700134273443;"+";-0.245784595132538;0.0814562121899856;"+";"+";"+";"+";0.181964429416764;NA;NA;"+";NA;NA;NA;NA;13;-1274.09457487241;2574.75701245933;9.7683336357436;0.000534129730963728
-0.22781597048734;"+";-0.218960254476281;0.266426845311251;"+";"+";NA;"+";0.0697848697934555;NA;"+";NA;NA;NA;NA;NA;12;-1275.15498970792;2574.79596072425;9.80728190066475;0.000523828645729131
-0.186415574621929;"+";-0.246342026863142;0.0770763951848112;"+";"+";"+";NA;0.184759849920304;NA;"+";"+";NA;NA;NA;NA;13;-1274.1528488342;2574.8735603829;9.88488155931418;0.000503893426094142
