(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
0.071019629583315;+;0.219779010840664;0.349988607163191;+;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;11;-651.576450018015;1325.94569282882;9.05133205420452;0.0013633274310533
-0.093159671699863;+;0.217897963573564;0.391144408287644;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;10;-652.675420793812;1326.00952422236;9.11516344773622;0.00132050290847784
-0.0595881026098847;+;0.127399944403423;0.278701201875804;+;+;NA;NA;0.471508619323862;+;NA;NA;NA;NA;NA;NA;11;-651.614220842147;1326.02123447709;9.12687370246749;0.00131279378673086
0.100767219135535;+;0.263515477688128;0.383495127721397;+;NA;NA;+;0.480209131409478;+;+;NA;NA;NA;NA;NA;12;-650.542174988059;1326.02410901226;9.12974823764307;0.00131090830606644
0.0375963383961699;+;0.468742696618553;0.54726338717443;+;+;NA;+;NA;+;+;NA;+;NA;NA;NA;13;-649.46827186223;1326.03624160966;9.14188083503632;0.00130298001671702
0.0750411180394146;+;-0.0308320576346507;0.508139011408898;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;11;-651.671152277419;1326.13509734763;9.24073657301255;0.00124014225234778
-0.0780548764639735;+;0.269885708996596;0.44257622800104;+;NA;NA;NA;0.43394792110942;+;+;NA;NA;NA;NA;NA;11;-651.721002573736;1326.23479794027;9.34043716564588;0.00117983641363654
-0.0964006372263277;+;-0.0775443042620626;0.543505354684743;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;10;-652.827422327542;1326.31352728981;9.41916651519546;0.00113429478336419
0.12358717657537;+;0.0379384771287867;0.338264919734668;+;+;NA;+;0.534449978336521;NA;+;NA;NA;NA;NA;NA;12;-650.697784092446;1326.33532722104;9.44096644641832;0.00112199814743263
0.116179818746267;+;0.226420254980021;0.249838510123646;+;NA;+;+;0.512121933324603;+;NA;NA;NA;NA;NA;NA;12;-650.710171710693;1326.36010245753;9.46574168291158;0.00110818499537482
0.0909416930463024;+;-0.0518196474461051;0.335288885893843;+;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;11;-651.798005083608;1326.38880296001;9.49444218538974;0.0010923958225245
0.0559809315051416;+;0.425889399189958;0.359716185773635;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;13;-649.67691224175;1326.4535223687;9.55916159407639;0.00105761204827454
0.133916345929803;+;0.0275342984796804;0.231768016287078;+;+;+;+;0.549269549019884;NA;NA;NA;NA;NA;NA;NA;12;-650.767984614646;1326.47572826544;9.58136749081814;0.00104593438451889
0.115930381997485;+;-0.0822258709228722;0.0743064307816022;+;+;+;+;NA;NA;+;NA;NA;+;NA;NA;13;-649.738846370198;1326.57739062559;9.68302985097262;0.000994096945589163
0.0777966625286139;+;0.379342541191151;0.150290155395294;+;+;+;+;NA;+;+;NA;+;+;NA;NA;15;-647.599314695375;1326.6575959561;9.7632351814807;0.000955019794432641
-0.0869854048549597;+;-0.099171781639849;0.378283835940392;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-653.003230945565;1326.66514452586;9.77078375124211;0.000951422071348524
-0.0674874357759029;+;0.223962764054995;0.302358110921291;+;NA;+;NA;0.474636172737515;+;NA;NA;NA;NA;NA;NA;11;-651.937906318376;1326.66860542954;9.77424465492481;0.000949777104951302
0.0727370624714734;+;0.0294022822918201;0.492273585663812;+;NA;+;+;NA;NA;+;NA;NA;NA;NA;NA;11;-651.960700368606;1326.71419353;9.81983275538573;0.00092837271107434
-0.0977555873404781;+;0.1950230364539;0.59285217984509;+;+;NA;NA;NA;+;+;NA;NA;NA;NA;NA;11;-651.966425733473;1326.72564425974;9.83128348511877;0.000923072625511127
0.122062846719043;+;0.276943015264094;0.0573230905579726;+;NA;+;+;0.404647141928262;+;+;NA;NA;+;NA;NA;14;-648.729319193311;1326.73136565935;9.83700488473096;0.000920435765261372
0.101602544357875;+;0.263892256973342;0.381113854266345;+;NA;NA;+;0.487084098102864;+;+;NA;NA;NA;+;NA;13;-649.821212672626;1326.74212323045;9.84776245582907;0.000915498229545348
-0.0655244894809235;+;-0.0168909867913856;0.387010422224754;+;+;NA;NA;0.501879092301456;NA;+;NA;NA;NA;NA;NA;11;-651.977600125111;1326.74799304301;9.85363226839581;0.000912815267086576
0.0554154698188936;+;0.200469230903828;0.554728781882921;+;+;NA;+;NA;+;+;NA;NA;NA;NA;NA;12;-650.941914310328;1326.8235876568;9.9292268821805;0.000878957210781316
-0.101855551293868;+;-0.0106022730451966;0.554255315982117;+;NA;+;NA;NA;NA;+;NA;NA;NA;NA;NA;10;-653.129222964631;1326.91712856399;10.0227677893738;0.000838794517995391
0.116752000694152;+;0.113821216535384;0.358651984517322;+;NA;+;+;0.534128978391634;NA;+;NA;NA;NA;NA;NA;12;-650.994282453364;1326.92832394287;10.0339631682532;0.000834112323740633
-0.0707276136945039;+;0.269430850225286;0.421521615216932;+;NA;NA;NA;0.49354593932328;+;+;NA;NA;NA;+;NA;12;-650.996863141009;1326.93348531816;10.0391245435444;0.000831962515556554
-0.0580297307378823;+;-0.0266913384372138;0.282523015441147;+;+;+;NA;0.523370228555274;NA;NA;NA;NA;NA;NA;NA;11;-652.07526655398;1326.94332590075;10.0489651261339;0.000827879071738332
0.11898529857547;+;0.000447660180248994;0.266862339040065;+;+;+;+;0.36152778358431;NA;NA;+;NA;NA;NA;NA;13;-649.926657781734;1326.95301344867;10.058652674046;0.000823878708899971
0.0934257089432005;+;0.189637704658619;0.119008872475193;+;+;+;+;NA;+;+;NA;NA;+;NA;NA;14;-648.853916269801;1326.98055981233;10.0861990377095;0.000812609065215022
0.0869807538897082;+;0.393364005257228;0.397134714932142;+;+;NA;+;0.431956959598251;+;+;NA;+;NA;NA;NA;14;-648.875931480678;1327.02459023408;10.1302294594641;0.000794914791517392
0.152075383810168;+;-0.0118860157485951;-0.00353248542597673;+;+;+;+;0.477120270665269;NA;+;NA;NA;+;NA;NA;14;-648.987467115828;1327.24766150438;10.3533007297644;0.000711019100187564
0.101536399052666;+;0.360832257395397;0.266579150244892;+;+;+;+;0.457688749410954;+;NA;NA;+;NA;NA;NA;14;-649.006684414176;1327.28609610108;10.3917353264599;0.000697485688308533
0.0769449869947951;+;0.138513610475752;0.345322920562521;+;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;12;-651.194162535783;1327.32808410771;10.4337233330921;0.00068299530920219
-0.0729793119355044;+;0.0665221358515352;0.432170771920565;+;NA;+;NA;0.506176628154558;NA;+;NA;NA;NA;NA;NA;11;-652.268552345689;1327.32989748417;10.4355367095523;0.000682376326048905
-0.104448317724623;+;0.271780777985753;0.619909204581402;+;NA;+;NA;NA;+;+;NA;NA;NA;NA;NA;11;-652.268880477904;1327.3305537486;10.4361929739807;0.000682152453126064
0.109395634147445;+;0.280495310340061;0.0853299199260022;+;NA;+;+;0.25277573843397;+;+;NA;NA;+;+;NA;15;-647.940809297295;1327.34058515994;10.4462243853211;0.000678739543429209
-0.0706210438488773;+;-0.0545512433068027;0.318926212647935;+;+;+;NA;0.324489653010864;NA;NA;+;NA;NA;NA;NA;12;-651.207465485;1327.35469000614;10.4603292315251;0.000673969624506079
-0.085941669641018;+;0.130321397723449;0.385933470977346;+;+;+;NA;NA;+;NA;NA;NA;NA;NA;NA;11;-652.286958963729;1327.36671072025;10.4723499456327;0.000669930975438635
0.0727935681347793;+;0.401200520869436;0.324210733880044;+;+;+;+;0.172509523913421;+;NA;+;+;NA;NA;NA;15;-647.961872388325;1327.382711342;10.4883505673804;0.000664592701768522
0.0510463421499975;+;0.267610191602333;0.555615021370578;+;NA;+;+;NA;+;+;NA;NA;NA;NA;NA;12;-651.238067245888;1327.41589352792;10.5215327533017;0.000653657348049184
0.10627769116666;+;0.182453874096925;0.38463496307405;+;+;NA;+;0.48405170127098;+;+;NA;NA;NA;NA;NA;13;-650.178805558504;1327.45730900221;10.562948227586;0.000640260768639838
